ASIN,Brand,URL,SoldBy,MerchantID
B074JJTRRC,Michael Kors,https://www.amazon.com/Michael-Kors-Travel-Smartphone-Wristlet/dp/B074JJTRRC/ref=sr_1_197?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-197,All Glitters!!!,A2PW5643CLWE54
B08R58D52Q,Fossil,https://www.amazon.com/Fossil-Logan-Clutch-Wallet-Multi/dp/B08R58D52Q/ref=sr_1_198?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-198,,
B011PLYVCA,Oberon Design,https://www.amazon.com/Oberon-Design-Embossed-Genuine-Checkbook/dp/B011PLYVCA/ref=sr_1_199?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-199,"Oberon Design, Inc.",A034682713TT1YJ4O9BSK
B08M4G31V7,Loungefly,https://www.amazon.com/Loungefly-Hello-Kitty-Pumpkin-Wallet/dp/B08M4G31V7/ref=sr_1_200?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-200,707 Street,A3I8WP06SRCPD5
B083522DXY,GOIACII,https://www.amazon.com/Womens-Wallet-Removable-Leather-GOIACII/dp/B083522DXY/ref=sr_1_201?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-201,GOIACII,A2F6RXCP2ZYLSS
B08HR4F4VD,Loungefly,https://www.amazon.com/Loungefly-Nickelodeon-Rugrats-Reptar-Around/dp/B08HR4F4VD/ref=sr_1_202?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-202,707 Street,A3I8WP06SRCPD5
B08VD6SJTG,GOIACII,https://www.amazon.com/GOIACII-Blocking-Leather-Capacity-Wristlet/dp/B08VD6SJTG/ref=sr_1_203?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-203,GZPEIYUAN,A1H3LI3O9HMNTU
B07WX7F75G,Fodiyaer,https://www.amazon.com/Engraved-Leather-Men-Wallet-Personalized/dp/B07WX7F75G/ref=sr_1_204?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-204,Whoopgifts,A2FJMYU3Q5P5P5
B08HWY5SF2,Ebetter,https://www.amazon.com/Ebetter-Wallet-Cosplay-Cartoon-Novelty/dp/B08HWY5SF2/ref=sr_1_205?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-205,,
B07YD56DYN,Vera Bradley,https://www.amazon.com/Vera-Bradley-Recycled-Lighten-ReActive/dp/B07YD56DYN/ref=sr_1_206?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-206,Amazon.com,
B08L1F5XJG,Loungefly,https://www.amazon.com/Loungefly-Sanrio-Anniversary-Bifold-Wallet/dp/B08L1F5XJG/ref=sr_1_207?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-207,Retrofacts,A1WCJ6LZLDP8WH
B07T56RDKF,HEMIX,https://www.amazon.com/Hemix-Minimalist-Carbon-Wallet-Pocket/dp/B07T56RDKF/ref=sr_1_208?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-208,HEMIX Store,A1K7FXO6MFDVB4
B07KZTMMWK,AnnabelZ,https://www.amazon.com/AnnabelZ-Wallets-Bifold-Leather-Pocket/dp/B07KZTMMWK/ref=sr_1_212?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-212,AnnabelZ,AQYBVUW3MZTMP
B082Y87LKC,Boao,https://www.amazon.com/Pieces-Change-Wallet-Zipper-Flower/dp/B082Y87LKC/ref=sr_1_213?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-213,Hiroda US,A3CGLBBBO7395Y
B0883FSZPM,Vera Bradley,https://www.amazon.com/Vera-Bradley-Signature-Checkbook-Bedford/dp/B0883FSZPM/ref=sr_1_214?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-214,Amazon.com,
B08MTZ1HX7,Buvelife,https://www.amazon.com/Buvelife-Leather-Capacity-Wristlet-Black-Updated/dp/B08MTZ1HX7/ref=sr_1_215?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-215,Buvelife,A2JMA9VZJJWI16
B07R555WSJ,Pofee,https://www.amazon.com/Womens-Bifold-Leather-Wallets-Wristlet/dp/B07R555WSJ/ref=sr_1_216?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-216,Pofee,A388VSB2C0MVV4
B0731V7872,Loungefly,https://www.amazon.com/Loungefly-Minnie-Wallet-WDWA0564-Standard/dp/B0731V7872/ref=sr_1_217?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-217,Retrofacts,A1WCJ6LZLDP8WH
B077BVRK2N,HOYOFO,https://www.amazon.com/HOYOFO-Wallets-Holder-Fashion-Clutch/dp/B077BVRK2N/ref=sr_1_218?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-218,US ANNIE LLC,AQNGQTDOUOG2O
B01K37LB20,Michael Kors,https://www.amazon.com/Michael-Kors-Womens-Money-Pieces/dp/B01K37LB20/ref=sr_1_219?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-219,shophydra,A1P46OLRIJ2AVT
B081S9N9L5,COACH,https://www.amazon.com/Coach-Skinny-Signature-Wallet-F88208/dp/B081S9N9L5/ref=sr_1_220?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-220,Blakely Violet LLC,A10EWHIZ4KHBVM
B08JPPQLBZ,Loungefly,https://www.amazon.com/Loungefly-Pusheen-Snacks-Leather-Wallet/dp/B08JPPQLBZ/ref=sr_1_221?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-221,SW Superstore,AFF4BSRAKF74P
B0784X6H18,Padike,https://www.amazon.com/Business-Holder-Luxury-Leather-Stainless/dp/B0784X6H18/ref=sr_1_222?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-222,PADIKE,A2UAQYWTEJSC1Q
B08ZQBMFG9,Loungefly,https://www.amazon.com/Little-Mermaid-Scales-Around-Accessory/dp/B08ZQBMFG9/ref=sr_1_223?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-223,Needzo Inc,A2E9N5PJ32E7VS
B071SD2GT5,Travelambo,https://www.amazon.com/Travelambo-Womens-Blocking-Trifold-Leather/dp/B071SD2GT5/ref=sr_1_227?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-227,Travelambo & Gostwo,A2EYPF656CBAIV
B01K6M3BS4,Leopardd,https://www.amazon.com/Blocking-Leather-Wallet-Excellent-Genuine/dp/B01K6M3BS4/ref=sr_1_228?dchild=1&amp;qid=1623898485&amp;s=apparel&amp;sr=1-228,Love is Know,A3F18092FNCINA
