"ASIN","Brand","Title","Category","URL","SalesRank","SoldBy","MerchantID"
"B07T86KYTN","YuMe","YuMe 10"" DZNR Batman 80th Anniversary Collector Plush – Blackout Limited Edition","Toys & Games,Stuffed Animals & Plush Toys","https://www.amazon.com/YuMe-Batman-Anniversary-Collector-Plush/dp/B07T86KYTN/ref=sr_1_217?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-217","5577","Amazon.com",""
"B08HPQJDMV","Basic Fun","Basic Fun Cutetitos Donutitos - Surprise Stuffed Animals - Collectible Scented Plush - Ages 3+, 7.5 inches","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Basic-Fun-Cutetitos-Donutitos-Collectible/dp/B08HPQJDMV/ref=sr_1_218?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-218","10072","Amazon.com",""
"B0711LQTNP","Little Buddy","Little Buddy Super Mario All Star Collection 1428 Ghost Boo Stuffed Plush, 4""","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Little-Buddy-Collection-1428-Stuffed/dp/B0711LQTNP/ref=sr_1_219?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-219","6553","VirVentures","A3SBDOAENTRT1F"
"B079D5WR8J","Pikmi Pops","Pikmi Pops Surprise Pack - Season 3","Toys & Games,Stuffed Animals & Plush Toys","https://www.amazon.com/Pikmi-Pops-Surprise-Pack-Season/dp/B079D5WR8J/ref=sr_1_220?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-220","9889","HI-STYLE","A1RYP75HASDMLC"
"B08JRXDG86","Squishmallow","Squishmallow Plush Stuffed Toy Baby Yoda The Child","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Squishmallow-Plush-Stuffed-Baby-Child/dp/B08JRXDG86/ref=sr_1_221?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-221","9085","JRJ Supply","A3HL48PWFIXDX6"
"B07DFBNCFS","Lion King","Disney's The Lion King Nuzzling Simba & Nala Plush - Amazon Exclusive","Toys & Games,Stuffed Animals & Plush Toys,Plush Figures","https://www.amazon.com/Lion-King-Touching-Heads-Exclusive/dp/B07DFBNCFS/ref=sr_1_222?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-222","10269","Amazon.com",""
"B071L93R6W","Little Buddy","Little Buddy Super Mario All Star Collection 1425 Koopa Troopa Stuffed Plush, 7"",Multi-Colored","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Little-Buddy-Collection-1425-Stuffed/dp/B071L93R6W/ref=sr_1_223?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-223","8046","Amazon.com",""
"B073ZLVWW5","Prextex","Prextex High Qulity Plush Dinosaurs 4 Pack 10'' Long Great Gift for Kids Stuffed Animal Assortment Great Set for Kids","Toys & Games,Stuffed Animals & Plush Toys,Plush Figures","https://www.amazon.com/Prextex-Qulity-Dinosaurs-Stuffed-Assortment/dp/B073ZLVWW5/ref=sr_1_224?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-224","7610","Kids To discover","A1M7PFRBAI7YXV"
"B01MQIU98S","FiraDesign","Alola Vulpix Plush 8"" - Lokon Plushie","Toys & Games,Stuffed Animals & Plush Toys,Plush Figures","https://www.amazon.com/Alola-Vulpix-Plush-Lokon-Plushie/dp/B01MQIU98S/ref=sr_1_225?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-225","9398","FloridaShopStop","A3APSZ3SMUMRVM"
"B01MYE1GXG","Aurora","Aurora - Rolly Pet - 5"" Daisy Cow, Black, White, Model:16834","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Aurora-World-Rolly-Daisy-Plush/dp/B01MYE1GXG/ref=sr_1_226?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-226","7848","Trinkets, Etc.","A3BZNO80UDMT5Y"
"B01EQJJHPO","Wild Republic","Wild Republic Audubon Birds American Robin Plush Authentic Bird Sound, Stuffed Animal, Bird Toys for Kids, American Robin","Toys & Games,Stuffed Animals & Plush Toys,Stuffed Animals & Teddy Bears","https://www.amazon.com/Wild-Republic-Audubon-American-Authentic/dp/B01EQJJHPO/ref=sr_1_227?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-227","8607","Amazon.com",""
"B07QSFP5BP","Toothless Dragon","How to Train Your Dragon Toothless Light & Night Fury Soft Toy Features 10inch Plush Deluxe Plush Dragon for Children 2 Pack","Toys & Games,Stuffed Animals & Plush Toys,Plush Figures","https://www.amazon.com/Dragon-Toothless-Features-10inch-Children/dp/B07QSFP5BP/ref=sr_1_228?dchild=1&amp;qid=1623421483&amp;s=toys-and-games&amp;sr=1-228","9622","LGrio US","A3GY1O0GH13QQ0"
