"ASIN","Brand","Title","Category","URL","SalesRank"
"B0055521W0","GermGuardian","Germ Guardian FLT4825 HEPA GENUINE Air Purifier Replacement Filter B for GermGuardian AC4300BPTCA, AC4900CA, AC4825, AC4825DLX, AC4850PT, CDAP4500BCA, CDAP4500WCA and More, 1-Pack","Home & Kitchen,Heating, Cooling & Air Quality,Parts & Accessories,Air Purifier Parts & Accessories","https://www.amazon.com/GermGuardian-FLT4825-Replacement-Germ-Guardian/dp/B0055521W0/ref=sr_1_25?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-25","92"
"B08SGFJ2PL","Ontel","Ontel Arctic Air Pure Chill Evaporative Ultra Portable Personal Air Cooler with 4-Speed Air Vent","Home & Kitchen,Heating, Cooling & Air Quality,Air Conditioners,Portable","https://www.amazon.com/Ontel-Evaporative-Portable-Personal-4-Speed/dp/B08SGFJ2PL/ref=sr_1_26?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-26","78"
"B01BZ0MR54","Hefty","Hefty Ultra Strong Tall Kitchen Trash Bags, Blackout, Clean Burst, 13 Gallon, 80 Count","Health & Household,Household Supplies,Paper & Plastic,Trash, Compost & Lawn Bags,Trash Bags","https://www.amazon.com/Hefty-Ultra-Strong-Kitchen-Drawstring/dp/B01BZ0MR54/ref=sr_1_27?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-27","300"
"B07J9RBWW5","GE Lighting","C by GE A19 Smart LED Bulbs - A19 Soft White Light Bulbs, 2-Pack, Smart Light Bulb Works with Alexa and Google Home, Bluetooth Light Bulbs, Warm White LED Light Bulbs","Tools & Home Improvement,Light Bulbs,LED Bulbs","https://www.amazon.com/GE-Lighting-93096612-C-Life-None/dp/B07J9RBWW5/ref=sr_1_28?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-28","45"
"B01BKWSHHE","FRIGIDAIRE","Frigidaire EPTWFU01 Refrigerator Water Filter, 1 Count, White","Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters","https://www.amazon.com/Frigidaire-EPTWFU01-Water-Filtration-Filter/dp/B01BKWSHHE/ref=sr_1_29?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-29","25"
"B003N1ZSYG","SAMSUNG","Samsung Electronics HAFCIN Samsung HAF-CIN/EXP Refrigerator Water Filter 1 Pack, Multicolor","Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters","https://www.amazon.com/Samsung-HAF-CIN-Refrigerator-Filter-DA29-00020B/dp/B003N1ZSYG/ref=sr_1_30?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-30","17"
"B074TWKVQB","AUGO","Magnetic Screen Door - Self Sealing, Heavy Duty, Hands Free Mesh Partition Keeps Bugs Out - Pet and Kid Friendly - Patent Pending Keep Open Feature - 38"" x 83"" - by Augo","Tools & Home Improvement,Building Supplies,Building Materials,Doors,Exterior Doors,Screen Doors","https://www.amazon.com/Magnetic-Screen-Door-Partition-Friendly/dp/B074TWKVQB/ref=sr_1_31?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-31","28"
"B002JAKRAM","FRIGIDAIRE","Frigidaire ULTRAWF Pure Source Ultra Water Filter, Original, White, 1 Count","Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters","https://www.amazon.com/Frigidaire-FBA_ULTRAWF-Filter-inches-White/dp/B002JAKRAM/ref=sr_1_32?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-32","31"
"B002UXRXEG","Duracell","Duracell - CopperTop AA Alkaline Batteries - Long Lasting, All-Purpose Double A battery for Household and Business - 20 Count","Health & Household,Household Supplies","https://www.amazon.com/Duracell-CopperTop-Alkaline-Batteries-Count/dp/B002UXRXEG/ref=sr_1_33?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-33","60"
"B00OAAUAX8","Gorilla","Gorilla 7700104 Super Glue Gel, 1-Pack","Industrial & Scientific,Adhesives, Sealants & Lubricants,Cyanoacrylate Adhesives","https://www.amazon.com/Gorilla-Super-Glue-Gram-Clear/dp/B00OAAUAX8/ref=sr_1_34?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-34","18"
"B000OQ21CA","IRWIN","IRWIN VISE-GRIP Wire Stripper, Self-Adjusting, 8-Inch (2078300)","Tools & Home Improvement,Power & Hand Tools,Hand Tools,Strippers,Wire Strippers","https://www.amazon.com/IRWIN-VISE-GRIP-2078300-Self-Adjusting-Stripper/dp/B000OQ21CA/ref=sr_1_35?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-35","21"
"B016HM7QRE","Odoland","Odoland Portable LED Camping Lantern with Ceiling Fan - Hurricane Emergency Survival Kit","Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lights & Lanterns,Lanterns,Electric Lanterns","https://www.amazon.com/Odoland-Portable-Camping-Lantern-Ceiling/dp/B016HM7QRE/ref=sr_1_36?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-36","63"
"B07CT6DYFG","Katamco","Toilet Timer by Katamco (Classic), Funny Gifts for Men, Husband, Dad, Fathers Day, Birthday Gag","Tools & Home Improvement,Electrical,Switches & Dimmers,Wall Switches,Timer Switches","https://www.amazon.com/Toilet-Timer-by-Katamco-Classic/dp/B07CT6DYFG/ref=sr_1_38?dchild=1&amp;qid=1623800127&amp;s=hi&amp;sr=1-38","33"
