"ASIN","Brand","Title","Category","URL","SalesRank"
"B01DOE8460","Click N Play","Click N Play 13 Piece Sand Castle Mold Set","Toys & Games,Sports & Outdoor Play,Pools & Water Toys,Beach Toys","https://www.amazon.com/Click-Play-Piece-Sand-Castle/dp/B01DOE8460/ref=sr_1_169?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-169","202"
"B083WDYHW9","DEERC","DEERC H120 RC Boat Remote Control Boats for Pools and Lakes,20+ mph 2.4 GHz Fast Racing Boats for Kids and Adults with 2 Rechargeable Battery,Low Battery Alarm,Capsize Recovery,Gifts for Boys Girls","Toys & Games,Hobbies,Remote & App Controlled Vehicles & Parts,Remote & App Controlled Vehicles,Watercraft","https://www.amazon.com/DEERC-Control-Rechargeable-Battery-Recovery/dp/B083WDYHW9/ref=sr_1_170?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-170","272"
"B08SLPP4F3","Hamdol","Hamdol Bubble Machine, Auto Bubble Blower Portable Bubble Maker for Kids with 4500+ Bubble/min, 3 Speeds, Brushless Motor, Powered by Plug-in or Batteries, Bubble Toys for Indoor Outdoor Wedding Party","Toys & Games,Sports & Outdoor Play,Bubbles,Bubble Makers","https://www.amazon.com/Hamdol-Machine-Portable-Brushless-Batteries/dp/B08SLPP4F3/ref=sr_1_171?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-171","165"
"B07RMJ8SG6","Skillmatics","Skillmatics Guess in 10 Animal Planet | Card Game of Smart Questions | Super Fun for Travel, Family Game Night & Summer Camps | Gifts for Ages 6-99","Toys & Games,Games & Accessories,Card Games","https://www.amazon.com/Skillmatics-Educational-Game-Questions-Knowledge/dp/B07RMJ8SG6/ref=sr_1_172?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-172","87"
"B08L3K3B41","Max Fun","Max Fun 36 Pack Sensory Fidget Toys Set Bundle Stress Relief Anti-Anxiety Tools Toys for Kids Adult Children Autistic Squeeze Ball Bean, Marble Mesh, Flippy Chain, Grape Ball, Maze Cube","Toys & Games,Novelty & Gag Toys,Miniatures","https://www.amazon.com/Max-Fun-Sensory-Anti-Anxiety-Children/dp/B08L3K3B41/ref=sr_1_173?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-173","255"
"B00E67F3WI","Buffalo Games","Puzzle Presto! Peel & Stick Puzzle Saver: The Original and Still the Best Way to Preserve Your Finished Puzzle!","Toys & Games,Puzzles,Puzzle Accessories","https://www.amazon.com/Puzzle-Presto-Peel-Stick-Saver/dp/B00E67F3WI/ref=sr_1_174?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-174","243"
"B07PBXRJ7G","Melissa & Doug","Melissa & Doug Let's Play House Dust! Sweep! Mop! 6Piece Pretend Play Set Frustration-Free Packaging","Health & Household,Household Supplies,Cleaning Tools,Sweeping,Brooms,Push Brooms","https://www.amazon.com/Melissa-Doug-Pretend-Frustration-Free-Packaging/dp/B07PBXRJ7G/ref=sr_1_175?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-175","0"
"B07BJ5L7N3","Fashion Angels","Fashion Angels 1000+ Ridiculously Cute Stickers for Kids - Fun Craft Stickers for Scrapbooks, Planners, Gifts and Rewards, 40-Page Sticker Book for Kids Ages 6+ and Up","Toys & Games,Arts & Crafts,Stickers","https://www.amazon.com/Fashion-Angels-1000-Ridiculously-Stickers/dp/B07BJ5L7N3/ref=sr_1_176?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-176","130"
"B0757TMQG5","Big Mo%27s Toys","Natural Fish Net Party Decorations for Pirate Party, Hawaiian Party, Nautical Themed Cotton Fishnet Party Accessory by Big Mo’s Toys","Toys & Games,Party Supplies,Decorations","https://www.amazon.com/Decorations-Accessory-Big-Mos-Toys/dp/B0757TMQG5/ref=sr_1_177?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-177","173"
"B07JZTBV9C","Taco vs Burrito","Taco vs Burrito - The Wildly Popular Surprisingly Strategic Card Game Created by a 7 Year Old","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","https://www.amazon.com/Taco-Burrito-Popular-Surprisingly-Strategic/dp/B07JZTBV9C/ref=sr_1_178?dchild=1&amp;qid=1623808064&amp;s=toys-and-games&amp;sr=1-178","269"
