ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B082TPDTM2,B082TPDTM2,Oral Essentials,"Lumineux Teeth Whitening Strips by Oral Essentials - 21 Treatments Dentist Formulated and Certified Non Toxic - Sensitivity Free - Whiter Teeth in 7 Days - NO Artificial Flavors, Colors, and SLS Free","Beauty & Personal Care,Oral Care,Teeth Whitening,Strips",https://www.amazon.com/Oral-Essentials-Treatments-Sensitivity-Artificial/dp/B082TPDTM2/ref=sr_1_1?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-1,18,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOral+Essentials,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AOral+Essentials,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOral+Essentials><div>Oral Essentials</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AOral+Essentials><div>Oral Essentials</div></a>"
B00T0C9XRK,B00T0C9XRK,essence cosmetics,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,"Beauty & Personal Care,Makeup,Eyes,Mascara",https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=sr_1_2?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-2,2,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Aessence+cosmetics,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3Aessence+cosmetics,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Aessence+cosmetics><div>essence cosmetics</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3Aessence+cosmetics><div>essence cosmetics</div></a>"
B0787GLBMV,B0787GLBMV,Schick Hydro Silk,"Schick Hydro Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count (Packaging May Vary)","Beauty & Personal Care,Shave & Hair Removal,Women's,Epilators, Groomers & Trimmers,Bikini Trimmers",https://www.amazon.com/Schick-Multipurpose-Exfoliating-Dermaplaning-Precision/dp/B0787GLBMV/ref=sr_1_3?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-3,3,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASchick+Hydro+Silk,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ASchick+Hydro+Silk,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASchick+Hydro+Silk><div>Schick Hydro Silk</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ASchick+Hydro+Silk><div>Schick Hydro Silk</div></a>"
B00U2VQZDS,B00U2VQZDS,Neutrogena,"Neutrogena Makeup Remover Cleansing Face Wipes, Daily Cleansing Facial Towelettes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 Count, 2 Pack","Beauty & Personal Care,Skin Care,Face,Cleansers,Cloths & Towelettes",https://www.amazon.com/Neutrogena-Makeup-Removing-Wipes-Count/dp/B00U2VQZDS/ref=sr_1_4?dchild=1&amp;qid=1623665205&amp;rdc=1&amp;s=beauty&amp;sr=1-4,4,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANeutrogena,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ANeutrogena,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANeutrogena><div>Neutrogena</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ANeutrogena><div>Neutrogena</div></a>"
B002MSN3QQ,B002MSN3QQ,EltaMD,"EltaMD UV Clear Facial Sunscreen Broad-Spectrum SPF 46 for Sensitive or Acne-Prone Skin, Oil-free, Dermatologist-Recommended Mineral-Based Zinc Oxide Formula","Beauty & Personal Care,Skin Care,Sunscreens & Tanning Products,Sunscreens,Facial Sunscreens",https://www.amazon.com/EltaMD-Clear-Facial-Sunscreen-Broad-Spectrum/dp/B002MSN3QQ/ref=sr_1_5?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-5,10,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEltaMD,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AEltaMD,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEltaMD><div>EltaMD</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AEltaMD><div>EltaMD</div></a>"
B01K1HPA60,B01K1HPA60,Philips Norelco,"Philips Norelco MG3750 Multigroom All-In-One Series 3000, 13 attachment trimmer","Beauty & Personal Care,Shave & Hair Removal,Men's,Beard & Mustache Care,Beard & Mustache Trimmers",https://www.amazon.com/Philips-Norelco-Multigroom-attachment-MG3750/dp/B01K1HPA60/ref=sr_1_6?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-6,16,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APhilips+Norelco,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APhilips+Norelco,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APhilips+Norelco><div>Philips Norelco</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APhilips+Norelco><div>Philips Norelco</div></a>"
B00AINMFAC,B00AINMFAC,Nizoral,Nizoral Anti-Dandruff Shampoo,"Beauty & Personal Care,Hair Care,Shampoo & Conditioner,Shampoos",https://www.amazon.com/Nizoral-Anti-Dandruff-Shampoo-Ketoconazole-Dandruff/dp/B00AINMFAC/ref=sr_1_7?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-7,15,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANizoral,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ANizoral,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANizoral><div>Nizoral</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ANizoral><div>Nizoral</div></a>"
B00027DMSI,B00027DMSI,Frownies,"Frownies Forehead & Between Eyes, 144 Patches","Beauty & Personal Care,Skin Care,Face,Treatments & Masks",https://www.amazon.com/Frownies-Forehead-Between-Eyes-Patches/dp/B00027DMSI/ref=sr_1_8?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-8,9,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFrownies,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFrownies,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFrownies><div>Frownies</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFrownies><div>Frownies</div></a>"
B00SNM5US4,B00SNM5US4,Olaplex,Olaplex Hair Perfector No 3 Repairing Treatment,"Beauty & Personal Care,Hair Care,Hair & Scalp Treatments",https://www.amazon.com/Olaplex-Hair-Perfector-Repairing-Treatment/dp/B00SNM5US4/ref=sr_1_9?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-9,14,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOlaplex,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AOlaplex,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOlaplex><div>Olaplex</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AOlaplex><div>Olaplex</div></a>"
B01KZOTRG8,B01KZOTRG8,Crest,"Crest 3D White Toothpaste Radiant Mint (3 Count of 4.1 oz Tubes), 12.3 oz (Packaging May Vary)","Beauty & Personal Care,Oral Care",https://www.amazon.com/Crest-White-Toothpaste-Radiant-Mint/dp/B01KZOTRG8/ref=sr_1_10?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-10,59,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACrest,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACrest,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACrest><div>Crest</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACrest><div>Crest</div></a>"
B00F97FHAW,B00F97FHAW,CeraVe,CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=sr_1_12?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-12,29,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACeraVe,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACeraVe,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACeraVe><div>CeraVe</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ACeraVe><div>CeraVe</div></a>"
B07GB3QXC6,B07GB3QXC6,FlePow,"Ear and Nose Hair Trimmer Clipper - 2019 Professional Painless Eyebrow and Facial Hair Trimmer for Men and Women, Battery-Operated, IPX7 Waterproof Dual Edge Blades for Easy Cleansing(Black)","Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Clippers & Accessories",https://www.amazon.com/Nose-Hair-Trimmer-Clipper-Battery-Operated/dp/B07GB3QXC6/ref=sr_1_17?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-17,28,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlePow,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFlePow,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlePow><div>FlePow</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AFlePow><div>FlePow</div></a>"
B00495Q5OW,B00495Q5OW,Listerine,1 Liter,"Beauty & Personal Care,Oral Care",https://www.amazon.com/Listerine-Anticavity-Mouthwash-Fluoride-Packaging/dp/B00495Q5OW/ref=sr_1_18?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-18,106,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AListerine,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AListerine,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AListerine><div>Listerine</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AListerine><div>Listerine</div></a>"
