ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B01CTQYGQG,B01CTQYGQG,UHIBROS,UHIBROS Hypoallergenic Studs Earrings 316L Surgical Stainless Steel Round Ball Earring 5 Pairs Assorted Sizes(4mm-8mm),"Clothing, Shoes & Jewelry,Girls,Jewelry,Earrings,Stud",https://www.amazon.com/UHIBROS-Hypoallergenic-Earrings-Surgical-Stainless/dp/B01CTQYGQG/ref=sr_1_241?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-241,20670,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AUHIBROS,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AUHIBROS,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AUHIBROS><div>UHIBROS</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AUHIBROS><div>UHIBROS</div></a>"
B07K5DCSYC,B07K5DCSYC,DeScount,"Tiny Gold Heart Choker Necklace,Dainty Cute Initial Heart Pendant Necklace,Rose Necklace,CZ Necklaces for Girls and Women","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Delicate-Choker-Necklace-Pendant-Necklaces/dp/B07K5DCSYC/ref=sr_1_242?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-242,26538,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADeScount,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADeScount,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADeScount><div>DeScount</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADeScount><div>DeScount</div></a>"
B07PDVLKWW,B07PDVLKWW,Barzel,Barzel 18K White Gold Plated Created Opal Stud Earrings 3 Pack Set,"Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Stud",https://www.amazon.com/Barzel-White-Plated-Created-Earrings/dp/B07PDVLKWW/ref=sr_1_243?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-243,29881,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ABarzel,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABarzel,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ABarzel><div>Barzel</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABarzel><div>Barzel</div></a>"
B0897KRFMY,B0897KRFMY,IEFSHINY,"IEFSHINY Gold Layered Chain Necklaces for Women, 14K Gold Plated Butterfly Bar Coin Pendant Necklace Herringbone Paperclip Chain Link Choker Layering Necklaces Set for Women Teen Girl Jewelry Gifts","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Chokers",https://www.amazon.com/IEFSHINY-Medallion-Necklaces-Neckalces-Rectangle/dp/B0897KRFMY/ref=sr_1_244?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-244,13089,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AIEFSHINY,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AIEFSHINY,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AIEFSHINY><div>IEFSHINY</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AIEFSHINY><div>IEFSHINY</div></a>"
B07M9LGSY4,B07M9LGSY4,Disney,Disney Mickey Mouse and Minnie Mouse Mismatched Silver Plated Stud Earrings; Jewelry for Women and Girls,"Clothing, Shoes & Jewelry,Girls,Jewelry,Earrings,Stud",https://www.amazon.com/Disney-Mismatched-Earrings-Mickeys-Anniversary/dp/B07M9LGSY4/ref=sr_1_245?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-245,71574,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADisney,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADisney,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADisney><div>Disney</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADisney><div>Disney</div></a>"
B07MQVBR3V,B07MQVBR3V,ACC PLANET,Pearl Hoop Earrings 18K Gold Plated High Polished Pearl Dangle Mother's Day Special Gift Hoop Earrings for Women Girls,"Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Hoop",https://www.amazon.com/Pearl-Earrings-Polished-Dangle-Women/dp/B07MQVBR3V/ref=sr_1_246?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-246,105489,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AACC+PLANET,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AACC+PLANET,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AACC+PLANET><div>ACC PLANET</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AACC+PLANET><div>ACC PLANET</div></a>"
B01F9W6OGM,B01F9W6OGM,GemsChest,"GemsChest 925 Sterling Silver Childrens Ballerina Necklace Jewelry Cubic Zirconia Ballet Slippers Shoes Necklace for Teen & Dancer 18""","Clothing, Shoes & Jewelry,Girls,Jewelry,Necklaces & Pendants,Pendants",https://www.amazon.com/GemsChest-Sterling-Zirconia-Slippers-Necklace/dp/B01F9W6OGM/ref=sr_1_247?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-247,44249,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AGemsChest,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGemsChest,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AGemsChest><div>GemsChest</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGemsChest><div>GemsChest</div></a>"
B08JLG9MXF,B08JLG9MXF,Fcebsty,"3 Pairs 925 Sterling Silver Hoop Earrings | Small White Gold Plated Hoop Earrings for Women Girls (13mm, 15mm, 20mm)","Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Hoop",https://www.amazon.com/Pairs-Sterling-Silver-Earrings-Plated/dp/B08JLG9MXF/ref=sr_1_248?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-248,10897,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AFcebsty,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AFcebsty,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AFcebsty><div>Fcebsty</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AFcebsty><div>Fcebsty</div></a>"
B08XP2QQ4S,B08XP2QQ4S,ZenJewels,Bracelet 14K Yellow Gold bracelet Gemstones Garnet Red 7 in 5 mm,"Clothing, Shoes & Jewelry,Women,Jewelry,Bracelets,Link",https://www.amazon.com/Bracelet-Yellow-bracelet-Gemstones-Garnet/dp/B08XP2QQ4S/ref=sr_1_249?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-249,1917838,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AZenJewels,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AZenJewels,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AZenJewels><div>ZenJewels</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AZenJewels><div>ZenJewels</div></a>"
B07S8HKC2R,B07S8HKC2R,Milacolato,Milacolato 11Pcs Stainless Steel Ear Cartilage Earrings Hoops for Women Tragus Helix Conch Piercing CZ Barbell Stud 16-18G,"Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Cuffs & Wraps",https://www.amazon.com/Milacolato-Stainless-Cartilage-Earrings-Piercing/dp/B07S8HKC2R/ref=sr_1_250?dchild=1&amp;qid=1623715975&amp;s=apparel&amp;sr=1-250,50853,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AMilacolato,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMilacolato,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AMilacolato><div>Milacolato</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMilacolato><div>Milacolato</div></a>"
