ASIN,ASIN,Brand,Title,Category,URL,SalesRank,SoldBy,MerchantID,merchant_url,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B08XNPCFGT,B08XNPCFGT,papasgix,"papasgix Choker Necklace Collar for Women, Adjustable Pu Leather Goth Studded Heart Punk Necklace with Spikes, Trendy Collar for Teenager Girls","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Chokers",https://www.amazon.com/Papasgix-Necklace-Adjustable-Teenager-8Pcs-Black/dp/B08XNPCFGT/ref=sr_1_1773?dchild=1&amp;qid=1623716013&amp;s=apparel&amp;sr=1-1773,0,HouyelUS,A1038FI5B16MPZ,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1038FI5B16MPZ&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3Apapasgix,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3Apapasgix,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3Apapasgix><div>papasgix</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3Apapasgix><div>papasgix</div></a>"
B07KWYN7KT,B07KWYN7KT,LONAGO,"LONAGO 3 Pieces 925 Sterling Silver Necklace Extender Chain Bracelet Anklet Extension Set Adjustable Length, 2""+4""+6""","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Chains",https://www.amazon.com/LONAGO-Sterling-Extension-Adjustable-white-gold-plated-silver/dp/B07KWYN7KT/ref=sr_1_5065?dchild=1&amp;qid=1623716098&amp;s=apparel&amp;sr=1-5065,245500,LONAGO JEWELRY,A106K637HDU3XJ,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A106K637HDU3XJ&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ALONAGO,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALONAGO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ALONAGO><div>LONAGO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALONAGO><div>LONAGO</div></a>"
B07X9KYF1D,B07X9KYF1D,MASOP VOGU,MASOP 2-8mm Sterling Silver Cubic Zirconia Stud Earrings Set Hypoallergenic Tiny Round Ball 14K White Gold Plated Round Cut CZ Simulated Diamond Cartilage Studs for Girls Women Men,"Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Stud",https://www.amazon.com/Hypoallergenic-Sterling-Zirconia-Simulated-Cartilage/dp/B07X9KYF1D/ref=sr_1_585?dchild=1&amp;qid=1623715989&amp;s=apparel&amp;sr=1-585,52451,MASOP VOGU,A109G3L25G94IG,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A109G3L25G94IG&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AMASOP+VOGU,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMASOP+VOGU,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AMASOP+VOGU><div>MASOP VOGU</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMASOP+VOGU><div>MASOP VOGU</div></a>"
B08YY44C8V,B08YY44C8V,LEEKOO,"14K Gold Plated Chain Link Drop Dangle Earrings, Symmetrical Dangling Stud Earrings for Women Girls","Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Drop & Dangle",https://www.amazon.com/Plated-Dangle-Earrings-Symmetrical-Dangling/dp/B08YY44C8V/ref=sr_1_3415?dchild=1&amp;qid=1623716061&amp;s=apparel&amp;sr=1-3415,262480,bangnai,A10A4KRI4N65YK,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10A4KRI4N65YK&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ALEEKOO,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALEEKOO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ALEEKOO><div>LEEKOO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALEEKOO><div>LEEKOO</div></a>"
B08PC3WRHL,B08PC3WRHL,OSNIE,"OSNIE 5 Pairs of Cute Duck Dangle Drop Earrings, Funny Resin Little Duckie Pendant Earrings, Indie Aesthetic Creative Personalized Earrings Jewelry Gifts for Women Girls (Multicolored)","Clothing, Shoes & Jewelry,Women,Jewelry,Earrings,Drop & Dangle",https://www.amazon.com/OSNIE-Duck-Aesthetic-Personalized-Multicolored/dp/B08PC3WRHL/ref=sr_1_14526?dchild=1&amp;qid=1623716360&amp;s=apparel&amp;sr=1-14526,754585,OSNIE,A10AASPPOS233K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10AASPPOS233K&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AOSNIE,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AOSNIE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AOSNIE><div>OSNIE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AOSNIE><div>OSNIE</div></a>"
B07YK9RQK3,B07YK9RQK3,DANA BURTON DB,Hexagon Drop Stud Dangle Earrings E6427,"Clothing, Shoes & Jewelry,Women,Jewelry,Earrings",https://www.amazon.com/Hexagon-Drop-Dangle-Earrings-E6427/dp/B07YK9RQK3/ref=sr_1_10823?dchild=1&amp;qid=1623716263&amp;s=apparel&amp;sr=1-10823,10408354,evan000,A10D26FHLD69XH,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10D26FHLD69XH&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADANA+BURTON+DB,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADANA+BURTON+DB,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ADANA+BURTON+DB><div>DANA BURTON DB</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ADANA+BURTON+DB><div>DANA BURTON DB</div></a>"
B091K892PQ,B091K892PQ,EZ Tuxedo,EZ Tuxedo Bead Charms for Pandora Bracelets fit European Snake Chain S925 Sterling Silver Jewelry Gifts for Women Girls Birthday Graduation,"Clothing, Shoes & Jewelry,Women,Jewelry,Bracelets,Charms & Charm Bracelets,Charms,Bead",https://www.amazon.com/EZ-Tuxedo-Bracelets-European-Graduation/dp/B091K892PQ/ref=sr_1_2311?dchild=1&amp;qid=1623716028&amp;s=apparel&amp;sr=1-2311,150097,EZ Charm,A10DTZCQ5N0Q3A,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10DTZCQ5N0Q3A&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AEZ+Tuxedo,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AEZ+Tuxedo,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AEZ+Tuxedo><div>EZ Tuxedo</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AEZ+Tuxedo><div>EZ Tuxedo</div></a>"
B07Q58VDJ6,B07Q58VDJ6,Roman,Roman Infinity Scapular Layered Silver Tone 26 inch Zinc Metal Multi Tiered Necklace,"Clothing, Shoes & Jewelry,Girls,Jewelry,Necklaces & Pendants",https://www.amazon.com/Roman-Infinity-Scapular-Layered-Necklace/dp/B07Q58VDJ6/ref=sr_1_17358?dchild=1&amp;qid=1623716428&amp;s=apparel&amp;sr=1-17358,1024660,Dunesbury Inc.,A10F8TY22D4G5D,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10F8TY22D4G5D&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ARoman,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARoman,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3ARoman><div>Roman</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARoman><div>Roman</div></a>"
B084ZWXPVK,B084ZWXPVK,VILLAGE GIFT IMPORTERS,VILLAGE GIFT IMPORTERS Saint Benedict Medal and Information Card | Beautiful Craftsmanship | Patron Saint of Europe,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces",https://www.amazon.com/VILLAGE-GIFT-IMPORTERS-Information-Craftsmanship/dp/B084ZWXPVK/ref=sr_1_2643?dchild=1&amp;qid=1623716037&amp;s=apparel&amp;sr=1-2643,113668,Dunesbury Inc.,A10F8TY22D4G5D,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10F8TY22D4G5D&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AVILLAGE+GIFT+IMPORTERS,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVILLAGE+GIFT+IMPORTERS,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AVILLAGE+GIFT+IMPORTERS><div>VILLAGE GIFT IMPORTERS</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVILLAGE+GIFT+IMPORTERS><div>VILLAGE GIFT IMPORTERS</div></a>"
B085QN5JZJ,B085QN5JZJ,Venerare,Venerare St. Agatha Rosary | Patron Saint of Breast Cancer | Pink Ribbon | Made in Italy,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Strands",https://www.amazon.com/Venerare-Agatha-Rosary-Patron-Breast/dp/B085QN5JZJ/ref=sr_1_10041?dchild=1&amp;qid=1623716242&amp;s=apparel&amp;sr=1-10041,566211,Dunesbury Inc.,A10F8TY22D4G5D,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10F8TY22D4G5D&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AVenerare,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVenerare,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3880961%2Cp_89%3AVenerare><div>Venerare</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVenerare><div>Venerare</div></a>"
