ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B07CJ1698H,B07CJ1698H,RitzyRose,"Don't Worry Ladies, I'm Still Single Sign Ring Bearer Wedding Ceremony Banner Gray + Black","Handmade Products,Stationery & Party Supplies,Party Supplies,Decorations",https://www.amazon.com/Ladies-Single-Bearer-Wedding-Ceremony/dp/B07CJ1698H/ref=sr_1_541?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-541,8146,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ARitzyRose,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARitzyRose,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ARitzyRose><div>RitzyRose</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARitzyRose><div>RitzyRose</div></a>"
B07D2YHPDN,B07D2YHPDN,yinahawaii,"Exclusive from yinahawaii, Wire Braided Sized Round Natural Pearl necklace,""June Birthstone"", Birthday Gift, (Hawaii Gift Wrapped, Customizable Gift Message)","Handmade Products,Jewelry,Necklaces,Pendant",https://www.amazon.com/Exclusive-yinahawaii-necklace-Birthstone-sterling/dp/B07D2YHPDN/ref=sr_1_542?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-542,18475,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Ayinahawaii,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3Ayinahawaii,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Ayinahawaii><div>yinahawaii</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3Ayinahawaii><div>yinahawaii</div></a>"
B08L82TYWL,B08L82TYWL,Glitter Cake Toppers,Aztec Shape 1 Cookie Cutter Fondant Cutter,"Handmade Products,Home & Kitchen,Kitchen & Dining,Bakeware",https://www.amazon.com/Aztec-Shape-Cookie-Cutter-Fondant/dp/B08L82TYWL/ref=sr_1_543?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-543,18572,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AGlitter+Cake+Toppers,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGlitter+Cake+Toppers,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AGlitter+Cake+Toppers><div>Glitter Cake Toppers</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGlitter+Cake+Toppers><div>Glitter Cake Toppers</div></a>"
B08J417JSH,B08J417JSH,PORTHO,"Personalized US Navy compass with wooden presentation box- Engraved gift compass for Navy man - Custom gift for Naval on any special occasions Like graduation, Retirement gift, Birthday gift ideas","Handmade Products,Sports & Outdoors,Camping & Hiking",https://www.amazon.com/Personalized-compass-wooden-presentation-Engraved/dp/B08J417JSH/ref=sr_1_544?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-544,15512,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APORTHO,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3APORTHO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APORTHO><div>PORTHO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3APORTHO><div>PORTHO</div></a>"
B08K9BDRCK,B08K9BDRCK,Moonlight Makers,"Funny Dish Towel, Fold In The Cheese Flour Sack Kitchen Towel, Sweet Housewarming Gift, Gray","Handmade Products,Home & Kitchen,Kitchen & Dining,Kitchen Linen,Dish Cloths & Towels",https://www.amazon.com/Funny-Towel-Cheese-Kitchen-Housewarming/dp/B08K9BDRCK/ref=sr_1_545?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-545,9183,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMoonlight+Makers,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMoonlight+Makers,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMoonlight+Makers><div>Moonlight Makers</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMoonlight+Makers><div>Moonlight Makers</div></a>"
B07JJTYWQ8,B07JJTYWQ8,Treasure Trove Jewelry,"Tree of Life Necklace August Birthstone, Peridot Tree Necklace, 7th Anniversary Pendant Necklace","Handmade Products,Jewelry,Necklaces",https://www.amazon.com/Necklace-Birthstone-Peridot-Anniversary-Pendant/dp/B07JJTYWQ8/ref=sr_1_546?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-546,13011,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATreasure+Trove+Jewelry,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATreasure+Trove+Jewelry,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATreasure+Trove+Jewelry><div>Treasure Trove Jewelry</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATreasure+Trove+Jewelry><div>Treasure Trove Jewelry</div></a>"
B075M62ZDM,B075M62ZDM,CustomVinylDecor,"Welcome Lettering Vinyl Porch Decor Decal for Wall, Sign, Entryway | Black, White, Red, Blue, Other Colors | Available in Small, Large Sizes","Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Stickers",https://www.amazon.com/Porch-Decor-Decoration-Welcome-included/dp/B075M62ZDM/ref=sr_1_547?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-547,13076,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACustomVinylDecor,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ACustomVinylDecor,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACustomVinylDecor><div>CustomVinylDecor</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ACustomVinylDecor><div>CustomVinylDecor</div></a>"
B08TV1FBTY,B08TV1FBTY,Tria Toys,"Tria Home Wall Decor - Multilayered Laser Cut Carved Elegant Wooden Lotus Flower Mandala Hanging MDF Panels for Room Decoration - Rustic Shabby Contemporary Artwork for Living Room, Bedroom and Office","Handmade Products,Home & Kitchen,Home Décor,Signs & Plaques",https://www.amazon.com/Tria-Home-Wall-Decor-Multilayered/dp/B08TV1FBTY/ref=sr_1_548?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-548,16888,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATria+Toys,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATria+Toys,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATria+Toys><div>Tria Toys</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ATria+Toys><div>Tria Toys</div></a>"
B086RWSNTS,B086RWSNTS,Lucky Tusk Art,"7 Year Anniversary Gift, Birch Trees, Personalized, White Forest, Faux Copper, Bare Trees, Copper Anniversary, Custom Art Print on Paper, Canvas or Metal #1428","Handmade Products,Home & Kitchen,Artwork,Prints",https://www.amazon.com/Anniversary-Personalized-Forest-Copper-Art/dp/B086RWSNTS/ref=sr_1_549?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-549,16657,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ALucky+Tusk+Art,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALucky+Tusk+Art,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ALucky+Tusk+Art><div>Lucky Tusk Art</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ALucky+Tusk+Art><div>Lucky Tusk Art</div></a>"
B079TN161M,B079TN161M,High Desert Medley,Baby Blue Teddy Bear Gift Tags - Thank You Beary Much for Coming - More Colors Available (Set of 20),"Handmade Products,Stationery & Party Supplies,Party Supplies,Party Favors",https://www.amazon.com/Baby-Blue-Teddy-Bear-Gift/dp/B079TN161M/ref=sr_1_550?dchild=1&amp;qid=1623761442&amp;s=handmade&amp;sr=1-550,21799,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHigh+Desert+Medley,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AHigh+Desert+Medley,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHigh+Desert+Medley><div>High Desert Medley</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AHigh+Desert+Medley><div>High Desert Medley</div></a>"
