ASIN,ASIN,Brand,Title,Category,URL,SalesRank,SoldBy,MerchantID,merchant_url,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B08BH5YKWT,B08BH5YKWT,REV,"Cordless Rotary Tool Kit Variable Speed 12V Li-Ion Battery Powered with 40 piece Accessory 5,000-25,000 rpm","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools",https://www.amazon.com/Cordless-Variable-Battery-Powered-Accessory/dp/B08BH5YKWT/ref=sr_1_8086?dchild=1&amp;qid=1621551525&amp;s=power-hand-tools&amp;sr=1-8086,0,VViViD Vinyl,A10111992WJRYRFBZH9IS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10111992WJRYRFBZH9IS&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AREV,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AREV,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AREV><div>REV</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AREV><div>REV</div></a>"
B08TQ2CZJ6,B08TQ2CZJ6,Hermes Hardware,Hermes Hardware Demolition Hammer SDS-Max 13Lb,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Demolition Drills & Hammers,Hammer Drills",https://www.amazon.com/Hermes-Hardware-Demolition-Hammer-SDS-Max/dp/B08TQ2CZJ6/ref=sr_1_8626?dchild=1&amp;qid=1621551556&amp;s=power-hand-tools&amp;sr=1-8626,0,Hermes Hardware,A108POP1D5ZD3V,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A108POP1D5ZD3V&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AHermes+Hardware,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AHermes+Hardware,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AHermes+Hardware><div>Hermes Hardware</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AHermes+Hardware><div>Hermes Hardware</div></a>"
B07SFTZ5YT,B07SFTZ5YT,KeShi,"KeShi Cordless Rotary Tool, Upgraded 3.7V Li-ion Rotary Accessory Kit with 42 Pieces Swap-able Heads, 3-Speed and USB Charging Multi-Purpose Power Tool for Delicate & Light DIY Small Projects","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools",https://www.amazon.com/KeShi-Cordless-Accessory-Swap-able-Multi-Purpose/dp/B07SFTZ5YT/ref=sr_1_38?dchild=1&amp;qid=1621551048&amp;s=power-hand-tools&amp;sr=1-38,0,KeShi Garden,A10A8SYXHJVH8K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10A8SYXHJVH8K&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeShi,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeShi,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeShi><div>KeShi</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeShi><div>KeShi</div></a>"
B08SWG97ML,B08SWG97ML,Asabocai,"Professional Air Random Orbital Palm Sander, Heavy Duty Dual Action Pneumatic Sander with 1pc Backing Plate (6 inch)","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Random-Orbit Sanders",https://www.amazon.com/Professional-Random-Orbital-Pneumatic-Backing/dp/B08SWG97ML/ref=sr_1_4435?dchild=1&amp;qid=1621551324&amp;s=power-hand-tools&amp;sr=1-4435,0,"ShuYang Kagangtuya E-Commerce Co.,Ltd",A10D8NZMYZLKNE,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10D8NZMYZLKNE&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AAsabocai,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AAsabocai,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AAsabocai><div>Asabocai</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AAsabocai><div>Asabocai</div></a>"
B08JTWXDRZ,B08JTWXDRZ,N/H,US STOCK M3-M16 Drilling Tapping Machine Tap Collets 1100mm Electric Tapper Machine Threading Machine,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills",https://www.amazon.com/Drilling-Tapping-Machine-Electric-Threading/dp/B08JTWXDRZ/ref=sr_1_8410?dchild=1&amp;qid=1621551536&amp;s=power-hand-tools&amp;sr=1-8410,0,SFX-LYXC,A10F1UCVYQM5JN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10F1UCVYQM5JN&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AN/H,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AN/H,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AN/H><div>N/H</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AN/H><div>N/H</div></a>"
B08XNMP5TL,B08XNMP5TL,XINCHENG PRECISION,US STOCK M3-M16 ElectricTapping Machine Tap Collets 1045mm Electric Tapper Machine 0-375RPM/min,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills",https://www.amazon.com/ElectricTapping-Machine-Collets-Electric-0-375RPM/dp/B08XNMP5TL/ref=sr_1_4809?dchild=1&amp;qid=1621551332&amp;s=power-hand-tools&amp;sr=1-4809,0,SFX-LYXC,A10F1UCVYQM5JN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10F1UCVYQM5JN&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AXINCHENG+PRECISION,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AXINCHENG+PRECISION,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AXINCHENG+PRECISION><div>XINCHENG PRECISION</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AXINCHENG+PRECISION><div>XINCHENG PRECISION</div></a>"
B08LVRRBLV,B08LVRRBLV,Elikliv,"Cordless Brushless Angle Grinder, Elikliv 8V Li-ion 125mm Electric Angle Grinder Tool, Electric Grinder for Cutting, Grinding, Polishing","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders",https://www.amazon.com/Cordless-Brushless-Elikliv-Electric-Polishing/dp/B08LVRRBLV/ref=sr_1_6053?dchild=1&amp;qid=1621551403&amp;s=power-hand-tools&amp;sr=1-6053,0,Elikliv USA,A10I5348DYZNU5,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10I5348DYZNU5&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AElikliv,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AElikliv,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AElikliv><div>Elikliv</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AElikliv><div>Elikliv</div></a>"
B082KL5NK2,B082KL5NK2,Beher,Beher 102 Pieces 80 Grit Drum Sanding Kit with 1/2 3/8 1/4 Inch Sanding Mandrels for Dremel Rotary Tools,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Drum Sanders",https://www.amazon.com/Beher-Pieces-Sanding-Mandrels-Dremel/dp/B082KL5NK2/ref=sr_1_8129?dchild=1&amp;qid=1621551520&amp;s=power-hand-tools&amp;sr=1-8129,0,YIying,A10L5L32UGLSJD,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10L5L32UGLSJD&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABeher,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABeher,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABeher><div>Beher</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABeher><div>Beher</div></a>"
B07XT3YRZC,B07XT3YRZC,VISLONE,"Right Angle Drill Attachment ,VISLONE 0.8-10mm Right Angle Bend Extension 90 Degree Professional Cordless Drill Attachment Adapter","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Right-Angle Drills",https://www.amazon.com/VISLONE-Right-Angle-Drill-Adaptor-Extension-Professional-Attachment/dp/B07XT3YRZC/ref=sr_1_8334?dchild=1&amp;qid=1621551532&amp;s=power-hand-tools&amp;sr=1-8334,0,Taromio,A10LC28SWB3H8Y,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10LC28SWB3H8Y&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AVISLONE,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVISLONE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AVISLONE><div>VISLONE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVISLONE><div>VISLONE</div></a>"
B08F9TXGKZ,B08F9TXGKZ,D DUSSAL,"Mini Cordless Screwdriver, Rechargeable lithium battery Power Screwdriver Set with 14 Bits and USB Type-B Charging Cable, 2N.m Torque, LED Worklight","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers",https://www.amazon.com/Cordless-Electric-Screwdriver-Rechargeable-Worklight/dp/B08F9TXGKZ/ref=sr_1_1172?dchild=1&amp;qid=1621551110&amp;s=power-hand-tools&amp;sr=1-1172,0,D DUSSAL,A10RX6Y18B0NXD,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A10RX6Y18B0NXD&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AD+DUSSAL,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AD+DUSSAL,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AD+DUSSAL><div>D DUSSAL</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AD+DUSSAL><div>D DUSSAL</div></a>"
