ASIN,ASIN,Brand,Title,Category,URL,SalesRank,SoldBy,MerchantID,merchant_url,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B08DLH4KHD,B08DLH4KHD,KESYOO,KESYOO Plush Satchel Bag Gothic Style Bear Shoulder Bag Pearl Chain Decor Lolita Cosplay Purse White,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Satchels",https://www.amazon.com/KESYOO-Satchel-Gothic-Shoulder-Cosplay/dp/B08DLH4KHD/ref=sr_1_4404?dchild=1&amp;qid=1623838026&amp;s=apparel&amp;sr=1-4404,0,Hotiagron,A100RCE5H2KNPN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A100RCE5H2KNPN&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AKESYOO,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AKESYOO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AKESYOO><div>KESYOO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AKESYOO><div>KESYOO</div></a>"
B07VKMTPP4,B07VKMTPP4,TENDYCOCO,"TENDYCOCO Women Crystal Diamante Handbag Letter Shining Purse Large Evening Clutch Storage Bag, Silver, Size 1","Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Clutches & Evening Bags,Evening Bags",https://www.amazon.com/Crystal-Diamante-Handbag-Shining-Evening/dp/B07VKMTPP4/ref=sr_1_8066?dchild=1&amp;qid=1623838050&amp;s=apparel&amp;sr=1-8066,276838,Hotiagron,A100RCE5H2KNPN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A100RCE5H2KNPN&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATENDYCOCO,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATENDYCOCO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ATENDYCOCO><div>TENDYCOCO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ATENDYCOCO><div>TENDYCOCO</div></a>"
B08KDRNH18,B08KDRNH18,VALICLUD,VALICLUD Womens Holographic Clear Chain Crossbody Bag Mini Tote Shoulder Purse Messenger Handbag with Snap Closure,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Totes",https://www.amazon.com/VALICLUD-Holographic-Crossbody-Shoulder-Messenger/dp/B08KDRNH18/ref=sr_1_13476?dchild=1&amp;qid=1623838108&amp;s=apparel&amp;sr=1-13476,0,Hotiagron,A100RCE5H2KNPN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A100RCE5H2KNPN&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AVALICLUD,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AVALICLUD,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AVALICLUD><div>VALICLUD</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AVALICLUD><div>VALICLUD</div></a>"
B088P3WZ98,B088P3WZ98,PUMA,PUMA x BMW M Motorsport Waist Bag,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Shoulder Bags",https://www.amazon.com/PUMA-BMW-Motorsport-Waist-Black/dp/B088P3WZ98/ref=sr_1_7191?dchild=1&amp;qid=1623838045&amp;s=apparel&amp;sr=1-7191,778905,First and Goal,A1012JTKGY5DNA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1012JTKGY5DNA&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3APUMA,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3APUMA,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3APUMA><div>PUMA</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3APUMA><div>PUMA</div></a>"
B01NAXFCZU,B01NAXFCZU,Lakhays,"Tree of Life Canvas Crossbody Sling Purse with Tranquil Boho Stripes, Made with Hemp and Cotton, Great For Festivals, Beach, Everyday Wear & More","Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/Casual-Lightweight-Purse-crossbody-hippie/dp/B01NAXFCZU/ref=sr_1_1982?dchild=1&amp;qid=1623838010&amp;s=apparel&amp;sr=1-1982,336385,Silly Yogi,A1023929ZHXPPR,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1023929ZHXPPR&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ALakhays,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ALakhays,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3ALakhays><div>Lakhays</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3ALakhays><div>Lakhays</div></a>"
B08SQB1F3J,B08SQB1F3J,N\P,Fashion Women Mini Phone Coin Card Slot Faux Leather Crossbody Bag Handbag Pouch,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Crossbody Bags",https://www.amazon.com/Fashion-Women-Leather-Crossbody-Handbag/dp/B08SQB1F3J/ref=sr_1_16260?dchild=1&amp;qid=1623838128&amp;s=apparel&amp;sr=1-16260,0,Ni Xiaopeng,A102PESMOWXH2D,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A102PESMOWXH2D&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AN\P,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AN\P,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AN\P><div>N\P</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AN\P><div>N\P</div></a>"
B01MR83DLX,B01MR83DLX,ASK 4 JEANS,ASK 4 JEANS Denim Jeans Purse Shoulder Hand bags For Women,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Shoulder Bags",https://www.amazon.com/ASK-JEANS-Denim-Jeans-Shoulder/dp/B01MR83DLX/ref=sr_1_12692?dchild=1&amp;qid=1623838104&amp;s=apparel&amp;sr=1-12692,0,ASK 4 JEANS,A102SD7TO510T3,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A102SD7TO510T3&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AASK+4+JEANS,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AASK+4+JEANS,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AASK+4+JEANS><div>ASK 4 JEANS</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AASK+4+JEANS><div>ASK 4 JEANS</div></a>"
B094QZFS2Q,B094QZFS2Q,Zhenzhan,zhenzhan Leather Kaiou Michiru Card Holder Travel Wallet Zip Around Long Wallet For Women,"Clothing, Shoes & Jewelry,Women,Accessories,Wallets, Card Cases & Money Organizers,Wallets",https://www.amazon.com/zhenzhan-Leather-Sailor-Holder-Travel/dp/B094QZFS2Q/ref=sr_1_15181?dchild=1&amp;qid=1623838121&amp;s=apparel&amp;sr=1-15181,0,zhenzhan,A1030ANBCS9LFC,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1030ANBCS9LFC&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AZhenzhan,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AZhenzhan,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AZhenzhan><div>Zhenzhan</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AZhenzhan><div>Zhenzhan</div></a>"
B00M4OC2X8,B00M4OC2X8,MG Collection,MG Collection THALIA Top Handle Tassel Decor Hobo Style Tote Purse/Shoulderbag,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Top-Handle Bags",https://www.amazon.com/MG-Collection-THALIA-Handle-Shoulderbag/dp/B00M4OC2X8/ref=sr_1_5221?dchild=1&amp;qid=1623838031&amp;s=apparel&amp;sr=1-5221,0,MyGift,A106OV2NHLTD48,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A106OV2NHLTD48&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMG+Collection,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMG+Collection,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3AMG+Collection><div>MG Collection</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3AMG+Collection><div>MG Collection</div></a>"
B01I3CVQG8,B01I3CVQG8,Pratesi Pelletterie,Pratesi Collodi shoulder bag - B168 Bruce,"Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Shoulder Bags",https://www.amazon.com/Pratesi-Womens-Italian-Leather-Collodi/dp/B01I3CVQG8/ref=sr_1_6799?dchild=1&amp;qid=1623838042&amp;s=apparel&amp;sr=1-6799,2548139,PRATESI,A107HH8KKW5V1C,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A107HH8KKW5V1C&isAmazonFulfilled=1,https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3APratesi+Pelletterie,https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3APratesi+Pelletterie,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A15743631%2Cp_89%3APratesi+Pelletterie><div>Pratesi Pelletterie</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A2221075051%2Cp_89%3APratesi+Pelletterie><div>Pratesi Pelletterie</div></a>"
