ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B07V34CN5N,B07V34CN5N,MEVECCO,MEVECCO Layered Heart Necklace Pendant Handmade 18k Gold Plated Dainty Gold Choker Arrow Bar Layering Long Necklace for Women,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Layered-Necklace-Circle-Dainty-Elegant/dp/B07V34CN5N/ref=sr_1_1?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-1,873,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AMEVECCO,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AMEVECCO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AMEVECCO><div>MEVECCO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AMEVECCO><div>MEVECCO</div></a>"
B008ZV9QOM,B008ZV9QOM,Amazon Collection,"Amazon Collection Diamond 3 Stone Pendant Necklace (1/4 cttw), 18""","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Sterling-Silver-Diamond-Pendant-Necklace/dp/B008ZV9QOM/ref=sr_1_2?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-2,23472,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AAmazon+Collection,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AAmazon+Collection,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AAmazon+Collection><div>Amazon Collection</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AAmazon+Collection><div>Amazon Collection</div></a>"
B06XX3BYWY,B06XX3BYWY,EFYTAL,"EFYTAL Mother Daughter Necklace - Sterling Silver Two Interlocking Infinity Double Circles, Mothers Day Jewelry Birthday Gift","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/EFYTAL-Mother-Daughter-Necklace-Interlocking/dp/B06XX3BYWY/ref=sr_1_3?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-3,36044,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AEFYTAL,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AEFYTAL,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AEFYTAL><div>EFYTAL</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AEFYTAL><div>EFYTAL</div></a>"
B07QBJ4MCT,B07QBJ4MCT,Leafael,"Leafael Infinity Love Heart Pendant Necklace with Birthstone Crystals for 12 Months, Jewelry Gifts for Women, Silver-Tone, 18""+2""","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Leafael-Swarovski-Alexandrite-Birthstone-Silver-tone/dp/B07QBJ4MCT/ref=sr_1_4?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-4,4774,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ALeafael,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ALeafael,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ALeafael><div>Leafael</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ALeafael><div>Leafael</div></a>"
B07QTFTCV2,B07QTFTCV2,PAVOI,PAVOI 14K Gold Plated Swarovski Crystal Solitaire 1.5 Carat (7.3mm) CZ Dainty Choker Necklace | Gold Necklaces for Women,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/PAVOI-Swarovski-Solitaire-Necklace-Necklaces/dp/B07QTFTCV2/ref=sr_1_5?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-5,3463,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3APAVOI,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3APAVOI,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3APAVOI><div>PAVOI</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3APAVOI><div>PAVOI</div></a>"
B08613Q5P5,B08613Q5P5,CDE,CDE Forever Love Heart Women Necklace 925 Sterling Silver Rose Gold Plated Birthstone Pendant Necklaces for Women with Cubic Mother's Day Jewelry Gifts Birthday Gift for Mom Women Wife Girls Her,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/CDE-Necklace-Sterling-Birthstone-Necklaces/dp/B08613Q5P5/ref=sr_1_6?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-6,7499,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ACDE,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ACDE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ACDE><div>CDE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ACDE><div>CDE</div></a>"
B08B7VC3PF,B08B7VC3PF,Benevolence LA,"Benevolence LA Mama Necklace Dainty Necklace | 14k Gold Dipped Necklaces for Women, Gifts for Mom | 14 Gold Necklace | Mother's Necklace, Necklaces for Mom, Designed in California","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Benevolence-Necklace-Necklaces-Designed-California/dp/B08B7VC3PF/ref=sr_1_7?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-7,14706,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ABenevolence+LA,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ABenevolence+LA,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ABenevolence+LA><div>Benevolence LA</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ABenevolence+LA><div>Benevolence LA</div></a>"
B07J9KRTNB,B07J9KRTNB,Olive & Hill Fine Jewelry,"14K White, Yellow and Rose Gold 1-3/4Cttw Diamond Three Circle Dangle Pendant Necklace","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Tri-Color-Diamond-Circle-Pendant-Necklace/dp/B07J9KRTNB/ref=sr_1_9?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-9,2308634,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AOlive+&+Hill+Fine+Jewelry,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AOlive+&+Hill+Fine+Jewelry,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AOlive+&+Hill+Fine+Jewelry><div>Olive & Hill Fine Jewelry</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AOlive+&+Hill+Fine+Jewelry><div>Olive & Hill Fine Jewelry</div></a>"
B00LIBK5P0,B00LIBK5P0,The Pearl Source,The Pearl Source Freshwater Cultured Pearl Pendant Necklace for Women with Sterling Silver Infinity Design,"Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/Freshwater-Cultured-Pearl-Infinity-Necklace/dp/B00LIBK5P0/ref=sr_1_10?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-10,49696,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AThe+Pearl+Source,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AThe+Pearl+Source,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3AThe+Pearl+Source><div>The Pearl Source</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3AThe+Pearl+Source><div>The Pearl Source</div></a>"
B0814ZGT9J,B0814ZGT9J,SWAROVSKI,"SWAROVSKI Women's Infinity Heart Jewelry Collections, Rose Gold Tone & Rhodium Finish, Clear Crystals","Clothing, Shoes & Jewelry,Women,Jewelry,Necklaces,Pendant Necklaces",https://www.amazon.com/SWAROVSKI-Womens-Infinity-Necklace-Crystal/dp/B0814ZGT9J/ref=sr_1_12?dchild=1&amp;qid=1623838175&amp;s=apparel&amp;sr=1-12,82513,https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ASWAROVSKI,https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ASWAROVSKI,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A7454934011%2Cp_89%3ASWAROVSKI><div>SWAROVSKI</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A86228051%2Cp_89%3ASWAROVSKI><div>SWAROVSKI</div></a>"
